"행정구역","2025년06월_계_총인구수","2025년06월_계_연령구간인구수","2025년06월_계_0세"
"전국  (0000000000)","51,164,582","244,214","244,214"
"서울특별시  (1100000000)","9,325,616","41,582","41,582"
"부산광역시  (2600000000)","3,252,830","13,404","13,404"
"대구광역시  (2700000000)","2,357,052","10,606","10,606"
"인천광역시  (2800000000)","3,039,450","16,345","16,345"
"광주광역시  (2900000000)","1,399,082","6,255","6,255"
"대전광역시  (3000000000)","1,439,764","7,404","7,404"
"울산광역시  (3100000000)","1,093,665","5,341","5,341"
"세종특별자치시  (3600000000)","392,223","2,895","2,895"
"경기도  (4100000000)","13,711,404","74,187","74,187"
"강원특별자치도  (5100000000)","1,510,615","6,512","6,512"
"충청북도  (4300000000)","1,591,045","7,914","7,914"
"충청남도  (4400000000)","2,135,890","10,033","10,033"
"전북특별자치도  (5200000000)","1,730,258","6,801","6,801"
"전라남도  (4600000000)","1,783,484","8,273","8,273"
"경상북도  (4700000000)","2,519,474","10,224","10,224"
"경상남도  (4800000000)","3,216,105","13,330","13,330"
"제주특별자치도  (5000000000)","666,625","3,108","3,108"
